Calc. Date= 11-10-2019, Time= 00:15:11
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number, Energy (keV), X, Y, Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name, Mass,   Energy , Energy Interval
            O     018.00  130000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 1.6963E+04  3.3564E+05  2.9293E+03 -2.1237E+03  4.7891E+02  6.1536E+00
0000001 1.5972E+04  3.3771E+05  2.8464E+03 -2.0180E+03  4.7988E+02  1.7951E+01
0000001 1.4972E+04  3.3971E+05  2.7024E+03 -1.9487E+03  4.8041E+02  1.0228E+01
0000001 1.3939E+04  3.4185E+05  2.5225E+03 -1.8827E+03  4.8040E+02  4.7860E+00
0000001 1.2951E+04  3.4390E+05  2.3536E+03 -1.8370E+03  4.7974E+02  1.2360E+01
0000001 1.1985E+04  3.4586E+05  2.1876E+03 -1.7863E+03  4.7834E+02  6.1569E+00
0000001 1.0931E+04  3.4811E+05  1.9343E+03 -1.7917E+03  4.7575E+02  1.3335E+01
0000001 9.9454E+03  3.5025E+05  1.7389E+03 -1.7982E+03  4.7206E+02  4.1768E+02
0000001 8.9338E+03  3.5228E+05  1.5826E+03 -1.8082E+03  4.6665E+02  4.7927E+00
0000001 7.9787E+03  3.5434E+05  1.4238E+03 -1.8246E+03  4.5955E+02  6.5652E+00
0000001 6.9973E+03  3.5643E+05  1.2149E+03 -1.8452E+03  4.4955E+02  7.5800E+00
0000001 5.9549E+03  3.5877E+05  9.9037E+02 -1.8857E+03  4.3471E+02  9.0641E+00
0000001 4.9437E+03  3.6089E+05  6.7745E+02 -1.9453E+03  4.1420E+02  8.1532E+01
0000001 3.9732E+03  3.6299E+05  8.0883E+02 -2.5350E+03  3.8580E+02  1.7745E+02
0000001 2.9934E+03  3.6556E+05  1.3573E+03 -3.5280E+03  3.4333E+02  8.6614E+00
0000001 1.9863E+03  3.6871E+05  2.0642E+03 -4.4802E+03  2.7592E+02  3.3760E+02
0000001 9.8361E+02  3.7273E+05  2.8372E+03 -5.6370E+03  1.6988E+02  1.6815E+01
0000001 0.0000E+00  3.7894E+05  1.0209E+03 -1.1732E+04  0.0000E+00  1.6949E-01
0000002 1.3000E+05  0.0000E+00  0.0000E+00  0.0000E+00  2.5845E+02  0.0000E+00
0000002 1.2884E+05  5.0307E+03  1.6420E+01 -1.3326E+01  2.5965E+02  4.3186E+00
0000002 1.2794E+05  8.2527E+03  3.5307E+01 -3.3111E+01  2.6057E+02  5.4074E+00
0000002 1.2695E+05  1.2261E+04  6.3268E+01 -4.2066E+01  2.6161E+02  3.3437E+01
0000002 1.2587E+05  1.6248E+04  1.0507E+02 -4.6093E+01  2.6276E+02  4.3515E+00
0000002 1.2482E+05  2.0213E+04  1.5269E+02 -3.8111E+01  2.6387E+02  5.2229E+00
0000002 1.2383E+05  2.4157E+04  2.0254E+02 -2.9969E+01  2.6494E+02  8.0716E+00
0000002 1.2283E+05  2.8081E+04  2.4640E+02 -2.7147E+01  2.6603E+02  9.1077E+00
0000002 1.2197E+05  3.1204E+04  2.6279E+02 -1.6132E+01  2.6698E+02  1.2060E+01
0000002 1.2092E+05  3.5089E+04  2.6625E+02 -1.2423E+01  2.6814E+02  3.9487E+00
0000002 1.1981E+05  3.8952E+04  2.7587E+02 -1.1041E+01  2.6940E+02  5.7710E+00
0000002 1.1899E+05  4.2025E+04  2.7650E+02 -1.3010E+00  2.7032E+02  4.3053E+01
0000002 1.1790E+05  4.5848E+04  2.6185E+02  8.4773E+00  2.7157E+02  5.4678E+00
0000002 1.1688E+05  4.9647E+04  2.4701E+02  2.6475E+01  2.7276E+02  2.9810E+01
0000002 1.1582E+05  5.3425E+04  2.3883E+02  3.4443E+01  2.7399E+02  1.4144E+02
0000002 1.1479E+05  5.7182E+04  2.2285E+02  4.1018E+01  2.7521E+02  5.1332E+01
0000002 1.1392E+05  6.0170E+04  2.1367E+02  4.6656E+01  2.7625E+02  4.5707E+00
0000002 1.1285E+05  6.3886E+04  2.0089E+02  5.3477E+01  2.7754E+02  4.9804E+00
0000002 1.1182E+05  6.7579E+04  1.9682E+02  7.3163E+01  2.7881E+02  7.7688E+01
